_id,route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
54,28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,1/1/2017,201701,SUN.,0.7555,Clever
55,29,29,29 - ROBINSON,Collier,Bus,1/1/2017,201701,WEEKDAY,0.6138,Clever
56,31,31,31 - BRIDGEVILLE,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7031,Clever
57,31,31,31 - BRIDGEVILLE,Collier,Bus,1/1/2017,201701,SAT.,0.7382,Clever
58,31,31,31 - BRIDGEVILLE,Collier,Bus,1/1/2017,201701,SUN.,0.7896,Clever
59,36,36,36 - BANKSVILLE,Collier,Bus,1/1/2017,201701,WEEKDAY,0.6089,Clever
60,38,38,38 - GREEN TREE,Collier,Bus,1/1/2017,201701,WEEKDAY,0.6091,Clever
61,38,38,38 - GREEN TREE,Collier,Bus,1/1/2017,201701,SAT.,0.7562,Clever
62,38,38,38 - GREEN TREE,Collier,Bus,1/1/2017,201701,SUN.,0.6667,Clever
63,39,39,39 - BROOKLINE,Collier,Bus,1/1/2017,201701,WEEKDAY,0.763,Clever
64,39,39,39 - BROOKLINE,Collier,Bus,1/1/2017,201701,SAT.,0.708,Clever
65,40,40,40 - MOUNT WASHINGTON,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7754,Clever
66,40,40,40 - MOUNT WASHINGTON,Collier,Bus,1/1/2017,201701,SAT.,0.7788,Clever
67,40,40,40 - MOUNT WASHINGTON,Collier,Bus,1/1/2017,201701,SUN.,0.7109,Clever
68,41,41,41 - BOWER HILL,Collier,Bus,1/1/2017,201701,WEEKDAY,0.6871,Clever
69,41,41,41 - BOWER HILL,Collier,Bus,1/1/2017,201701,SAT.,0.8469,Clever
70,41,41,41 - BOWER HILL,Collier,Bus,1/1/2017,201701,SUN.,0.5709,Clever
71,43,43,43 - BAILEY,Collier,Bus,1/1/2017,201701,WEEKDAY,0.6667,Clever
72,43,43,43 - BAILEY,Collier,Bus,1/1/2017,201701,SAT.,0.5645,Clever
73,43,43,43 - BAILEY,Collier,Bus,1/1/2017,201701,SUN.,0.6174,Clever
74,44,44,44 - VIA KNOXVILLE,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7661,Clever
75,44,44,44 - VIA KNOXVILLE,Collier,Bus,1/1/2017,201701,SAT.,0.7324,Clever
76,44,44,44 - VIA KNOXVILLE,Collier,Bus,1/1/2017,201701,SUN.,0.7977,Clever
77,48,48,48 - ARLINGTON,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7288,Clever
78,48,48,48 - ARLINGTON,Collier,Bus,1/1/2017,201701,SAT.,0.6218,Clever
79,48,48,48 - ARLINGTON,Collier,Bus,1/1/2017,201701,SUN.,0.757,Clever
80,51,51,51 - CARRICK,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6963,Clever
81,51,51,51 - CARRICK,West Mifflin,Bus,1/1/2017,201701,SAT.,0.6871,Clever
82,51,51,51 - CARRICK,West Mifflin,Bus,1/1/2017,201701,SUN.,0.74,Clever
83,51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6764,Clever
84,52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.5919,Clever
85,53,53,53 - HOMESTEAD PARK,West Mifflin,Bus,1/1/2017,201701,SAT.,0.764,Clever
86,53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6432,Clever
87,54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,1/1/2017,201701,WEEKDAY,0.6554,Clever
88,54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,1/1/2017,201701,SAT.,0.6184,Clever
89,54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,1/1/2017,201701,SUN.,0.6581,Clever
90,55,55,55 - GLASSPORT,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.8016,Clever
91,55,55,55 - GLASSPORT,West Mifflin,Bus,1/1/2017,201701,SAT.,0.8384,Clever
92,55,55,55 - GLASSPORT,West Mifflin,Bus,1/1/2017,201701,SUN.,0.7471,Clever
93,56,56,56 - LINCOLN PLACE,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.701,Clever
94,56,56,56 - LINCOLN PLACE,West Mifflin,Bus,1/1/2017,201701,SAT.,0.7886,Clever
95,56,56,56 - LINCOLN PLACE,West Mifflin,Bus,1/1/2017,201701,SUN.,0.7762,Clever
96,57,57,57 - HAZELWOOD,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.7403,Clever
97,57,57,57 - HAZELWOOD,West Mifflin,Bus,1/1/2017,201701,SAT.,0.6512,Clever
98,57,57,57 - HAZELWOOD,West Mifflin,Bus,1/1/2017,201701,SUN.,0.7569,Clever
99,58,58,58 - GREENFIELD,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6883,Clever
100,58,58,58 - GREENFIELD,East Liberty,Bus,1/1/2017,201701,SAT.,0.6677,Clever
101,58,58,58 - GREENFIELD,East Liberty,Bus,1/1/2017,201701,SUN.,0.7425,Clever
102,59,59,59 - MON VALLEY,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.7074,Clever
103,59,59,59 - MON VALLEY,West Mifflin,Bus,1/1/2017,201701,SAT.,0.7193,Clever
104,59,59,59 - MON VALLEY,West Mifflin,Bus,1/1/2017,201701,SUN.,0.7561,Clever
105,60,60,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.7407,Clever
106,61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6263,Clever
107,61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,1/1/2017,201701,SAT.,0.746,Clever
108,61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,1/1/2017,201701,SUN.,0.6947,Clever
109,61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6642,Clever
110,61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,1/1/2017,201701,SAT.,0.7754,Clever
111,61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,1/1/2017,201701,SUN.,0.6217,Clever
112,61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6477,Clever
113,61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,1/1/2017,201701,SAT.,0.6728,Clever
114,61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,1/1/2017,201701,SUN.,0.6128,Clever
115,61D,061D,61D - MURRAY,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6759,Clever
116,61D,061D,61D - MURRAY,West Mifflin,Bus,1/1/2017,201701,SAT.,0.6071,Clever
117,61D,061D,61D - MURRAY,West Mifflin,Bus,1/1/2017,201701,SUN.,0.5907,Clever
118,64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6878,Clever
119,64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,1/1/2017,201701,SAT.,0.7174,Clever
120,64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,1/1/2017,201701,SUN.,0.7343,Clever
121,65,65,65 - SQUIRREL HILL,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6899,Clever
122,67,67,67 - MONROEVILLE,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6526,Clever
123,67,67,67 - MONROEVILLE,East Liberty,Bus,1/1/2017,201701,SAT.,0.6417,Clever
124,67,67,67 - MONROEVILLE,East Liberty,Bus,1/1/2017,201701,SUN.,0.7663,Clever
125,68,68,68 - BRADDOCK HILLS,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.7612,Clever
126,68,68,68 - BRADDOCK HILLS,East Liberty,Bus,1/1/2017,201701,SAT.,0.7204,Clever
127,68,68,68 - BRADDOCK HILLS,East Liberty,Bus,1/1/2017,201701,SUN.,0.7848,Clever
128,69,69,69 - TRAFFORD,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6316,Clever
129,69,69,69 - TRAFFORD,East Liberty,Bus,1/1/2017,201701,SAT.,0.6595,Clever
130,69,69,69 - TRAFFORD,East Liberty,Bus,1/1/2017,201701,SUN.,0.6468,Clever
131,71,71,71 - EDGEWOOD TOWN CENTER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.7901,Clever
132,71A,071A,71A - NEGLEY,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.5719,Clever
133,71A,071A,71A - NEGLEY,East Liberty,Bus,1/1/2017,201701,SAT.,0.7589,Clever
134,71A,071A,71A - NEGLEY,East Liberty,Bus,1/1/2017,201701,SUN.,0.6325,Clever
135,71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6098,Clever
136,71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,1/1/2017,201701,SAT.,0.7616,Clever
137,71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,1/1/2017,201701,SUN.,0.7485,Clever
138,71C,071C,71C - POINT BREEZE,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.5496,Clever
139,71C,071C,71C - POINT BREEZE,East Liberty,Bus,1/1/2017,201701,SAT.,0.6233,Clever
140,71C,071C,71C - POINT BREEZE,East Liberty,Bus,1/1/2017,201701,SUN.,0.6733,Clever
141,71D,071D,71D - HAMILTON,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6304,Clever
142,71D,071D,71D - HAMILTON,East Liberty,Bus,1/1/2017,201701,SAT.,0.7277,Clever
143,71D,071D,71D - HAMILTON,East Liberty,Bus,1/1/2017,201701,SUN.,0.6819,Clever
144,74,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6306,Clever
145,74,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,1/1/2017,201701,SAT.,0.7166,Clever
146,75,75,75 - ELLSWORTH,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.71,Clever
147,75,75,75 - ELLSWORTH,East Liberty,Bus,1/1/2017,201701,SAT.,0.7312,Clever
148,75,75,75 - ELLSWORTH,East Liberty,Bus,1/1/2017,201701,SUN.,0.6492,Clever
149,77,77,77 - PENN HILLS,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6218,Clever
150,77,77,77 - PENN HILLS,East Liberty,Bus,1/1/2017,201701,SAT.,0.5561,Clever
151,77,77,77 - PENN HILLS,East Liberty,Bus,1/1/2017,201701,SUN.,0.6342,Clever
152,78,78,78 - OAKMONT,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.8133,Clever
153,79,79,79 - EAST HILLS,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6747,Clever
154,79,79,79 - EAST HILLS,East Liberty,Bus,1/1/2017,201701,SAT.,0.6952,Clever
155,79,79,79 - EAST HILLS,East Liberty,Bus,1/1/2017,201701,SUN.,0.7114,Clever
156,81,81,81 - OAK HILL,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.695,Clever
157,81,81,81 - OAK HILL,West Mifflin,Bus,1/1/2017,201701,SAT.,0.6707,Clever
158,81,81,81 - OAK HILL,West Mifflin,Bus,1/1/2017,201701,SUN.,0.6868,Clever
159,82,82,82 - LINCOLN,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6547,Clever
160,82,82,82 - LINCOLN,East Liberty,Bus,1/1/2017,201701,SAT.,0.6913,Clever
161,82,82,82 - LINCOLN,East Liberty,Bus,1/1/2017,201701,SUN.,0.6353,Clever
162,83,83,83 - BEDFORD HILL,West Mifflin,Bus,1/1/2017,201701,WEEKDAY,0.6789,Clever
163,83,83,83 - BEDFORD HILL,West Mifflin,Bus,1/1/2017,201701,SAT.,0.8209,Clever
164,83,83,83 - BEDFORD HILL,West Mifflin,Bus,1/1/2017,201701,SUN.,0.6864,Clever
165,86,86,86 - LIBERTY,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6382,Clever
166,86,86,86 - LIBERTY,East Liberty,Bus,1/1/2017,201701,SAT.,0.6139,Clever
167,86,86,86 - LIBERTY,East Liberty,Bus,1/1/2017,201701,SUN.,0.6611,Clever
168,87,87,87 - FRIENDSHIP,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6909,Clever
169,87,87,87 - FRIENDSHIP,East Liberty,Bus,1/1/2017,201701,SAT.,0.7358,Clever
170,87,87,87 - FRIENDSHIP,East Liberty,Bus,1/1/2017,201701,SUN.,0.75,Clever
171,88,88,88 - PENN,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.6749,Clever
172,88,88,88 - PENN,East Liberty,Bus,1/1/2017,201701,SAT.,0.6488,Clever
173,88,88,88 - PENN,East Liberty,Bus,1/1/2017,201701,SUN.,0.7621,Clever
174,89,89,89 - GARFIELD COMMONS,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.642,Clever
175,89,89,89 - GARFIELD COMMONS,East Liberty,Bus,1/1/2017,201701,SAT.,0.6852,Clever
176,89,89,89 - GARFIELD COMMONS,East Liberty,Bus,1/1/2017,201701,SUN.,0.6351,Clever
